County,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed. Status,State Status,Habitat,Wet Habitat Flag,URL
Anderson,Vertebrate Animal,Amphibian,Cryptobranchus alleganiensis,Hellbender,G3,S3,--,E,"Rocky, clear creeks and rivers with large shelter rocks.",Aquatic,
Anderson,Invertebrate Animal,Mollusc,Carychium stygium,Cave Thorn,G3,S2,--,"Rare, Not State Listed",Cave obligate; feeds on cricket guano; Highland Rim & escarpment of Cumberland Plateau.,Upland,
Anderson,Vascular Plant,Flowering Plant,Platanthera flava var. herbiola,Tubercled Rein-orchid,G4?T4Q,S2,--,T,Swamps And Floodplains,Possible,
Anderson,Vertebrate Animal,Mammal,Myotis lucifugus,Little Brown Myotis,G3G4,S3,--,T,Often uses human-made structures for resting and maternity sites; they also use caves and hollow trees. Typically feed over water.,,
Anderson,Vascular Plant,Flowering Plant,Fothergilla major,Mountain Witch-alder,G3,S2,--,T,Rocky Slopes And River Banks,Possible,
Anderson,Invertebrate Animal,Mollusc,Dromus dromas,Dromedary Pearlymussel,G1,S1,"LE, XN",E,"Medium-large rivers with riffles and shoals w/ relatively firm rubble, gravel, and stable substrates; Tennessee & Cumberland systems.",Aquatic,
Anderson,Vertebrate Animal,Bird,Limnothlypis swainsonii,Swainson's Warbler,G4,S3,--,D,"Mature, rich, damp, deciduous floodplain and swamp forests.",Possible,
Anderson,Vertebrate Animal,Fish,Etheostoma maydeni,Redlips Darter,GNR,S2,--,T,Found in slow-moving large creeks and rivers in pools along the banks strewn with boulders and woody debris.,,
Anderson,Vertebrate Animal,Bird,Thryomanes bewickii,Bewick's Wren,G5,S1,--,D,"Brushy areas, thickets and scrub in open country, open and riparian woodland.",Upland,
Anderson,Invertebrate Animal,Crustacean,Cambarus deweesae,Valley Flame Crayfish,G4,S1,--,E,Primary burrower; open areas with high water tables; northern Ridge & Valley.,Aquatic,
Anderson,Invertebrate Animal,Crustacean,Caecidotea recurvata,Southwestern Virginia Cave Isopod,G5,S2,--,"Rare, Not State Listed","Aquatic cave obligate; northernmost Ridge & Valley; reported from Campbell, Claiborne, & Hancock counties.",Aquatic,
Anderson,Invertebrate Animal,Mollusc,Pleurobema plenum,Rough Pigtoe,G1,S1,"LE, XN",E,"Medium to large rivers in sand, gravel, and cobble substrates of shoals; Tennessee & Cumberland river systems.",Aquatic,
Anderson,Invertebrate Animal,Mollusc,Plethobasus cooperianus,Orangefoot Pimpleback,G1,S1,"LE, XN",E,Large rivers in sand-gravel-cobble substrates in riffles and shoals in deep flowing water; Cumberland & Tennessee river systems.,Aquatic,
Anderson,Vertebrate Animal,Reptile,Pituophis melanoleucus melanoleucus,Northern Pinesnake,G4T4,S3,--,T,"Well-drained sandy soils in pine/pine-oak woods; dry mountain ridges; E portions of west TN, E to lower elev of the Appalachians.",Upland,
Anderson,Vertebrate Animal,Mammal,Perimyotis subflavus,Tri-colored bat,G3G4,S2S3,PE,T,Generally associated with forested landscapes but may roost near openings.,,
Anderson,Nonvascular Plant,Non-Vascular Plant,Palamocladium leskeoides,A Moss,G3G5,S1,--,T,Seepy Limestone Cliffs And Bluffs,Possible,
Anderson,Invertebrate Animal,Arachnid,Nesticus paynei,A Cave Spider,G3G4,S3,--,"Rare, Not State Listed",Terrestrial cave associate; also may be found on surface; northern Ridge & Valley.,Upland,
Anderson,Vascular Plant,Flowering Plant,Iris fulva,Copper Iris,G5,S2,--,T,Bottomlands,Possible,
Anderson,Invertebrate Animal,Insect,Pseudanophthalmus pusillus,Tiny Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; northern Ridge & Valley.,Upland,
Anderson,Nonvascular Plant,Non-Vascular Plant,Homaliadelphus sharpii,Sharp's Homaliadelphus,G3?,S1,--,E,Calcareous Or Dolomite Bluffs,Upland,
Anderson,Vascular Plant,Flowering Plant,Helianthus occidentalis,Naked-stem Sunflower,G5,S2,--,S,Limestone Glades And Barrens,Upland,
Anderson,Vascular Plant,Flowering Plant,Draba ramosissima,Branching Whitlow-grass,G4,S2,--,S,Calcareous Bluffs,Upland,
Anderson,Vertebrate Animal,Mammal,Synaptomys cooperi,Southern Bog Lemming,G5,S4,--,D,"Marshy meadows, wet balds, & rich upland forests.",Possible,
Anderson,Invertebrate Animal,Mollusc,Cyprogenia stegaria,Fanshell,G1,S1,"LE, XN",E,Medium to large streams and rivers with coarse sand and gravel substrates; Cumberland and Tennessee river systems.,Aquatic,
Anderson,Vertebrate Animal,Fish,Chrosomus tennesseensis,Tennessee Dace,G3,S3,--,D,First order spring-fed streams of woodlands in Ridge and Valley limestone region; Tennessee River watershed.,Aquatic,
Anderson,Vascular Plant,Flowering Plant,Aureolaria patula,Spreading False-foxglove,G3,S3,--,S,Oak Woods And Edges,Upland,
Anderson,Vertebrate Animal,Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,G5T5,S3,--,D,"Dry upland areas including brushy, cut-over woodlands and grassy fields; nearly statewide but obscure; fossorial.",Upland,
Anderson,Vascular Plant,Flowering Plant,Meehania cordata,Heartleaf Meehania,G5,S2,--,T,Wooded Mountain Slopes,Upland,
Anderson,Vertebrate Animal,Amphibian,Aneides aeneus,Green Salamander,G3G4,S3S4,--,"Rare, Not State Listed",Damp crevices in shaded rock outcrops and ledges; beneath loose bark and cracks of trees and sometimes in/or under logs.,Upland,
Anderson,Vascular Plant,Flowering Plant,Juglans cinerea,Butternut,G3,S3,--,T,Rich Woods And Hollows,Possible,
Anderson,Invertebrate Animal,Mollusc,Io fluvialis,Spiny Riversnail,G1G2,S2,--,"Rare, Not State Listed",Shallow waters of shoals that are rapid to moderate and well-oxygenated; Tennessee River & main tributaries; E Tennessee.,Aquatic,
Anderson,Invertebrate Animal,Arachnid,Hesperochernes mirabilis,Southeastern Cave Pseudoscorpion,G5,S3,--,"Rare, Not State Listed",Terrestrial cave obligate; woodrat debris in caves; middle Tennessee.,Upland,
Anderson,Invertebrate Animal,Mollusc,Hemistena lata,Cracking Pearlymussel,G1,S1,"LE, XN",E,"Medium-sized rivers of mod current, deeply buried in mud, sand, gravel, and cobble substrates; Tennessee & Cumb. river systems.",Aquatic,
Anderson,Vascular Plant,Flowering Plant,Sullivantia sullivantii,Sullivantia,G4,S1,--,E,Moist Shaded Cliffs,Upland,
Anderson,Invertebrate Animal,Mollusc,Plethobasus cicatricosus,White Wartyback,G1,S1,"LE, XN",E,Presumed to inhabit shoals and riffles in large rivers; Tennessee & Cumberland river systems.  Very rare & poss extirpated in TN.,Aquatic,
Anderson,Vertebrate Animal,Mammal,Myotis grisescens,Gray Myotis,G3G4,S2,LE,E,Cave obligate year-round; frequents forested areas; migratory.,Upland,
Anderson,Vertebrate Animal,Amphibian,Hemidactylium scutatum,Four-toed Salamander,G5,S3,--,D,"Woodland swamps, shallow depressions, & sphagnum mats on acidic soils; middle & east Tennessee.",Possible,
Anderson,Vertebrate Animal,Bird,Vermivora chrysoptera,Golden-winged Warbler,G4,S3B,--,T,Early successional habitats in foothill regions of Appalachians.,Upland,
Anderson,Vertebrate Animal,Fish,Etheostoma baileyi,Emerald Darter,G4G5,S2,--,D,Creeks and small rivers with riffles containing gravel or rubble; upper Cumberland drainage.,Aquatic,
Anderson,Vertebrate Animal,Fish,Erimonax monachus,Spotfin Chub,G2,S2,"LT,XN",T,Clear upland rivers with swift currents & boulder substrates; portions of the Tennessee River watershed.,Aquatic,
Anderson,Invertebrate Animal,Mollusc,Lemiox rimosus,Birdwing Pearlymussel,G1,S1,"LE, XN",E,Small-medium size rivers in riffle areas with sand and gravel substrates in mod-fast currents; Tennessee River system.,Aquatic,
Anderson,Nonvascular Plant,Non-Vascular Plant,Lejeunea sharpii,Sharp's Lejeunea,G2G3,S1S2,--,E,"Calcareous Bluffs, Rock & Logs Of Wet Sinks",Possible,
Anderson,Animal Assemblage,,Rookery,Heron Rookery,G5,SNR,--,"Rare, Not State Listed",,,
Anderson,Vascular Plant,Flowering Plant,Pycnanthemum torrei,Torrey's Mountain-mint,G2,S1,--,E,Barrens,Upland,
Anderson,Vertebrate Animal,Bird,Setophaga cerulea,Cerulean Warbler,G4,S3B,--,D,"Mature deciduous forest, particularly in floodplains or mesic conditions.",Upland,
Anderson,Vascular Plant,Flowering Plant,Epilobium ciliatum,Hairy Willow-herb,G5,S1,--,T,Mountain Balds,Possible,
Anderson,Vascular Plant,Flowering Plant,Delphinium exaltatum,Tall Larkspur,G3,S2,--,E,Glades And Barrens,Upland,
Anderson,Invertebrate Animal,Insect,Pseudanophthalmus paynei,Payne's Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; northern Ridge & Valley; reported from Anderson County.,Upland,
Anderson,Vertebrate Animal,Mammal,Neotoma magister,Allegheny Woodrat,G3G4,S3,--,D,"Outcrops, cliffs, talus slopes, crevices, sinkholes, caves & karst.",Upland,
Anderson,Vascular Plant,Flowering Plant,Diervilla lonicera,Northern Bush-honeysuckle,G5,S2,--,T,Rocky Woodlands And Bluffs,Upland,
Anderson,Vascular Plant,Flowering Plant,Oligoneuron album,Prairie Goldenrod,G5,S1S2,--,E,Barrens,Upland,
Bedford,Vascular Plant,Flowering Plant,Astragalus tennesseensis,Tennessee Milk-vetch,G3,S3,--,S,Glades,Upland,
Bedford,Invertebrate Animal,Mollusc,Lithasia duttoniana,Helmet Rocksnail,G2,S2,--,"Rare, Not State Listed",Rocky substrates in riffle systems; bedrock in flowing water below main section of riffles; Duck River (TN River system).,Aquatic,
Bedford,Vascular Plant,Flowering Plant,Anemone caroliniana,Carolina Anemone,G5,S1S2,--,E,Glades And Cedar Woodlands,Upland,
Bedford,Vascular Plant,Flowering Plant,Phemeranthus calcaricus,Limestone Fame-flower,G3,S3,--,S,Glades,Upland,
Bedford,International Vegetation Classification - Natural,Plant Community,Dalea foliosa - Mecardonia acuminata - Mitreola petiolata Seep Grassland,Limestone Glade Streamside Meadow,G2?,S2?,--,"Rare, Not State Listed",,,
Bedford,Vertebrate Animal,Amphibian,Cryptobranchus alleganiensis,Hellbender,G3,S3,--,E,"Rocky, clear creeks and rivers with large shelter rocks.",Aquatic,
Bedford,Invertebrate Animal,Mollusc,Obovaria subrotunda,Round Hickorynut,G4,S2S3,LT,T,"Medium-large rivers in sand and gravel subst with moderate flow; TN & Cumb rivers; also Red River in Robertson Co., W Highland Rim.",Aquatic,
Bedford,Vertebrate Animal,Mammal,Myotis lucifugus,Little Brown Myotis,G3G4,S3,--,T,Often uses human-made structures for resting and maternity sites; they also use caves and hollow trees. Typically feed over water.,,
Bedford,Vascular Plant,Flowering Plant,Amsonia tabernaemontana var. gattingeri,Limestone Blue Star,G5T3Q,S3,--,S,"Glades, Barrens, And Rocky River Bars",Possible,
Bedford,Invertebrate Animal,Mollusc,Theliderma cylindrica cylindrica,Rabbitsfoot,G3G4T3,S3,LT,T,Large rivers in sand and gravel; Tennessee & Cumberland systems; big river form of Q. cylindrica.,Aquatic,
Bedford,Vertebrate Animal,Fish,Etheostoma denoncourti,Golden Darter,G2,S2,--,D,Medium to large rivers in shallow riffle areas of pea gravel; Tennessee River system.,Aquatic,
Bedford,Invertebrate Animal,Mollusc,Lithasia geniculata fuliginosa,Geniculate River Snail,G3,S2,--,"Rare, Not State Listed",Medium-sized river form of L. geniculata; portions of lower Cumberland and lower Tennessee river systems; Duck & Buffalo rivers.,Aquatic,
Bedford,Invertebrate Animal,Mollusc,Pleuronaia dolabelloides,Slabside Pearlymussel,G2,S2,LE,E,"Lg creeks to mod sized rivers, in riffles/shoals of sand, fine gravel, and cobble substrates with mod current; Tennessee R watershed.",Aquatic,
Bedford,Vertebrate Animal,Mammal,Perimyotis subflavus,Tri-colored bat,G3G4,S2S3,PE,T,Generally associated with forested landscapes but may roost near openings.,,
Bedford,Invertebrate Animal,Insect,Gomphus sandrius,Tennessee Clubtail,G1,S1,--,"Rare, Not State Listed",Slow streams with bare bedrock shores; Central Basin; upper Duck River and middle Cumberland River watersheds.,Aquatic,
Bedford,Vascular Plant,Flowering Plant,Schoenolirion croceum,Yellow Sunnybell,G4,S3,--,T,Wet Areas In Glades,Possible,
Bedford,Vascular Plant,Flowering Plant,Trifolium calcaricum,Running Glade Clover,G1,S1,--,E,"Glades, Cedar Woods, And Thickets",Upland,
Bedford,Vertebrate Animal,Mammal,Myotis sodalis,Indiana Myotis,G2,S1,LE,E,Hibernates in caves; spring/summer maternity roosts are normally under the bark of standing trees.,Upland,
Bedford,Vertebrate Animal,Amphibian,Gyrinophilus palleucus,Tennessee Cave Salamander,G2G3,S2,--,T,"Aquatic cave obligate; cave streams & rimstone pools; Central Basin, Eastern Highland Rim, & Cumberland Plateau.",Aquatic,
Bedford,Invertebrate Animal,Mollusc,Ptychobranchus subtentus,Fluted Kidneyshell,G2,S2,LE,E,"Small-medium rivers in swift current or riffles, in sand, gravel, and cobble substrates; Tennessee & Cumberland river systems.",Aquatic,
Bedford,Vertebrate Animal,Fish,Etheostoma luteovinctum,Redband Darter,G4,S4,--,D,Limestone streams; Nashville Basin & portions of Highland Rim.,Aquatic,
Bedford,International Vegetation Classification - Natural,Plant Community,"Eleocharis (bifida, compressa) - Schoenolirion croceum - Carex crawei - Allium cernuum Seep Grassland",Central Basin Limestone Seep Glade,G2?,SNR,--,"Rare, Not State Listed",,,
Bedford,Vascular Plant,Flowering Plant,Stellaria fontinalis,Water Stitchwort,G3,S3,--,S,Seeps And Limestone Creek Beds,Possible,
Bedford,Vascular Plant,Flowering Plant,Oenothera macrocarpa,Missouri Primrose,G5,S2,--,T,Limestone Cedar Glades,Upland,
Bedford,Vertebrate Animal,Fish,Notropis rupestris,Bedrock Shiner,G2,S2,--,D,Bedrock pools of some low-gradient streams of the Nashville Basin.,Aquatic,
Bedford,Vertebrate Animal,Amphibian,Ambystoma barbouri,Streamside Salamander,G4,S3,UR,E,Seasonally flowing karst streams; middle Tennessee.,Aquatic,
Bedford,International Terrestrial Ecological System Classification,Plant Community,Nashville Basin Limestone Glade and Woodland,"Nashville Basin Limestone Glade, Barrens, and Woodland",GNR,SNR,--,"Rare, Not State Listed",,,
Bedford,Vascular Plant,Flowering Plant,Dalea foliosa,Leafy Prairie-clover,G2G3,S2S3,LE,E,Rocky Washes In Glades,Possible,
Bedford,Vertebrate Animal,Fish,Percina macrocephala,Longhead Darter,G3,S2,--,T,"Clear, larger upland creeks and small-med rivers, usually in rocky flowing pools upst/dnst rubble riffles; Tenn & Cumb river watersheds.",Aquatic,
Bedford,Vertebrate Animal,Fish,Noturus fasciatus,Saddled Madtom,G2,S2,--,T,"Rocky riffles, runs, and flowing pools of clear creeks & small rivers; Duck River system and nearby tributaries of the Tennessee River.",Aquatic,
Bedford,Vertebrate Animal,Mammal,Myotis septentrionalis,Northern Myotis,G2G3,S1S2,LE,E,"A forest bat whose summer roosts may include caves, mines, live trees and snags; hibernates in caves and mines, often using small cracks and fissures.  Notably susceptible to White-Nose Syndrome.",,
Bedford,Vertebrate Animal,Mammal,Myotis grisescens,Gray Myotis,G3G4,S2,LE,E,Cave obligate year-round; frequents forested areas; migratory.,Upland,
Bedford,Vascular Plant,Flowering Plant,Arnoglossum plantagineum,Fen Indian-plantain,G4G5,S2,--,T,Moist Prairies And Marshes,Possible,
Bedford,Vertebrate Animal,Fish,Hemitremia flammea,Flame Chub,G3,S3,--,D,Springs and spring-fed streams with lush aquatic vegetation; Tennessee & middle Cumberland river watersheds.,Aquatic,
Bedford,Vertebrate Animal,Fish,Etheostoma cinereum,Ashy Darter,G2G3,S2S3,--,E,Small to medium upland rivers with bedrock or gravel substrate and boulders.,Aquatic,
Bedford,Vertebrate Animal,Fish,Etheostoma aquali,Coppercheek Darter,G2G3,S2S3,--,T,"Primarily in deep riffles, runs, and flowing pools; Duck and Buffalo River watersheds.",Aquatic,
Bedford,Vascular Plant,Flowering Plant,Paysonia densipila,Duck River Bladderpod,G3,S3,--,S,Cultivated Fields,Possible,
Bedford,Vertebrate Animal,Fish,Etheostoma striatulum,Striated Darter,G1,S1,--,T,Bedrock pools of headwaters and creeks with large slabrock cover; upper Duck River watershed.,Aquatic,
Bedford,Vascular Plant,Flowering Plant,Polygala boykinii,Boykin's Milkwort,G4,S2,--,T,Glades,Upland,
Bedford,Vertebrate Animal,Fish,Percina phoxocephala,Slenderhead Darter,G5,S3,--,D,Small-large rivers with moderate gradient in shoal areas with moderate-swift currents; portions of Tenn & Cumb river watersheds.,Aquatic,
Bedford,Vertebrate Animal,Fish,Ichthyomyzon gagei,Southern Brook Lamprey,G5,S1,--,D,Gravel and sand riffles and runs of small rivers and creeks; Conasauga & lower Tennessee river watersheds.,Aquatic,
Bedford,Vertebrate Animal,Mammal,Neotoma magister,Allegheny Woodrat,G3G4,S3,--,D,"Outcrops, cliffs, talus slopes, crevices, sinkholes, caves & karst.",Upland,
Benton,Invertebrate Animal,Mollusc,Obovaria retusa,Ring Pink,G1,S1,"LE,XN",E,Large rivers in gravel and sand bars; Tennessee & Cumberland river watersheds; many historic locations currently inundated.,Aquatic,
Benton,Vascular Plant,Flowering Plant,Eryngium integrifolium,Blue-flower Coyote-thistle,G5,S1,--,T,Wet Barrens,Possible,
Benton,Invertebrate Animal,Mollusc,Lampsilis abrupta,Pink Mucket,G1G2,S2,LE,E,"Generally a large river species, preferring sand-gravel or rocky substrates with mod-strong currents; Tennessee & Cumberland river systems.",Aquatic,
Benton,Vascular Plant,Flowering Plant,Carex reniformis,Reniform Sedge,G4?,S1,--,S,Rich Bottomland Woods,Possible,
Benton,Vertebrate Animal,Reptile,Sistrurus miliarius streckeri,Western Pygmy Rattlesnake,G5T5,S2S3,--,T,"Usually near water in river floodplains, swamps, marshes, and wet prairies; occas drier wooded uplands; W half of Tenn., generally.",Possible,
Benton,Vascular Plant,Flowering Plant,Phlox pilosa ssp. ozarkana,Ozark Downy Phlox,G5T4?,S1S2,--,S,"Rocky, Dry Open Woods",Upland,
Benton,Invertebrate Animal,Mollusc,Plethobasus cooperianus,Orangefoot Pimpleback,G1,S1,"LE, XN",E,Large rivers in sand-gravel-cobble substrates in riffles and shoals in deep flowing water; Cumberland & Tennessee river systems.,Aquatic,
Benton,Vertebrate Animal,Reptile,Pituophis melanoleucus melanoleucus,Northern Pinesnake,G4T4,S3,--,T,"Well-drained sandy soils in pine/pine-oak woods; dry mountain ridges; E portions of west TN, E to lower elev of the Appalachians.",Upland,
Benton,Vertebrate Animal,Reptile,Macrochelys temminckii,Alligator Snapping Turtle,G3,S2S3,PT,T,"Slow moving, deep water of rivers, sloughs, oxbows, swamps, and lakes; middle and west Tennessee; obscure.",Aquatic,
Benton,Vertebrate Animal,Mammal,Myotis sodalis,Indiana Myotis,G2,S1,LE,E,Hibernates in caves; spring/summer maternity roosts are normally under the bark of standing trees.,Upland,
Benton,Vertebrate Animal,Fish,Etheostoma pyrrhogaster,Firebelly Darter,G2G3,S2,--,D,"Sand- and gravel-bottomed pools of headwaters, creeks, and small rivers; upper Coastal Plain in Obion River watershed; west Tennessee.",Aquatic,
Benton,Vertebrate Animal,Reptile,Plestiodon anthracinus,Coal Skink,G5,S1,--,D,"Humid wooded areas with abundant leaf litter and loose rocks; vicinity of springs, swamps, and bogs; spotty distribution.",Possible,
Benton,Vertebrate Animal,Mammal,Myotis grisescens,Gray Myotis,G3G4,S2,LE,E,Cave obligate year-round; frequents forested areas; migratory.,Upland,
Benton,Vascular Plant,Flowering Plant,Fuirena squarrosa,Hairy Umbrella-sedge,G4G5,S1,--,S,Stream And Lake Margins,Possible,
Benton,Animal Assemblage,,Rookery,Heron Rookery,G5,SNR,--,"Rare, Not State Listed",,,
Benton,Vertebrate Animal,Fish,Percina phoxocephala,Slenderhead Darter,G5,S3,--,D,Small-large rivers with moderate gradient in shoal areas with moderate-swift currents; portions of Tenn & Cumb river watersheds.,Aquatic,
Benton,Vascular Plant,Flowering Plant,Lysimachia fraseri,Fraser's Loosestrife,G3,S2,--,E,Dry Open Woods,Possible,
Benton,Vertebrate Animal,Bird,Egretta caerulea,Little Blue Heron,G5,"S2B,S3N",--,D,Bodies of calm shallow water; colonial nester.,Possible,
Bledsoe,Vascular Plant,Flowering Plant,Platanthera cristata,Yellow Crested Orchid,G5,S2S3,--,S,Acidic Seeps And Stream Heads,Possible,
Bledsoe,Vertebrate Animal,Fish,Etheostoma forbesi,Barrens Darter,G1G2,S1,--,E,Headwaters of the Barren Fork & Hickory Creek drainages; Cumberland River watershed.,Aquatic,
Bledsoe,Vascular Plant,Flowering Plant,Platanthera integrilabia,White Fringeless Orchid,G2G3,S2S3,LT,E,Acidic Seeps And Stream Heads,Possible,
Bledsoe,Vascular Plant,Flowering Plant,Panax quinquefolius,American Ginseng,G3G4,S3S4,--,S-CE,Rich Woods,Possible,
Bledsoe,Vascular Plant,Flowering Plant,Fimbristylis puberula,Hairy Fimbristylis,G5,S1S2,--,T,Wet Prairies And Woods,Possible,
Bledsoe,Vascular Plant,Flowering Plant,Carex buxbaumii,Brown Bog Sedge,G5,S1,--,E,Swamps,Possible,
Bledsoe,Invertebrate Animal,Crustacean,Cambarus hamulatus,Prickly Cave Crayfish,G3G4,S3,--,D,Aquatic cave obligate; Sequatchie Valley & southern Cumberlands.,Aquatic,
Bledsoe,Vascular Plant,Flowering Plant,Listera australis,Southern Twayblade,G4,S1S2,--,E,Wet-Mesic Woods,Possible,
Bledsoe,Vascular Plant,Flowering Plant,Pedicularis lanceolata,Swamp Lousewort,G5,S1S2,--,S,Wet Acidic Barrens And Seeps,Possible,
Bledsoe,Vascular Plant,Flowering Plant,Scleria muehlenbergii,Muhlenberg's Nutrush,G5,S2,--,T,Wet Meadows,Possible,
Bledsoe,Invertebrate Animal,Arachnid,Anthrobia mammouthia,Mammoth Cave spider,G5,S1,--,"Rare, Not State Listed","Terrestrial cave obligate; reported from a handful of caves in the middle Cumberlands; Bledsoe, Grundy, & Van Buren counties.",Upland,
Bledsoe,Vascular Plant,Flowering Plant,Amelanchier sanguinea,Roundleaf Shadbush,G5,S2,--,T,Rocky Slopes And River Banks,Upland,
Bledsoe,Vascular Plant,Flowering Plant,Helianthus occidentalis,Naked-stem Sunflower,G5,S2,--,S,Limestone Glades And Barrens,Upland,
Bledsoe,Vascular Plant,Flowering Plant,Spiraea virginiana,Virginia Spiraea,G2?,S2,LT,E,Stream Bars And Ledges,Possible,
Bledsoe,Vascular Plant,Flowering Plant,Drosera intermedia,Spoonleaf Sundew,G5,S2,--,S,Acidic Wetlands,Possible,
Bledsoe,Vertebrate Animal,Fish,Chrosomus tennesseensis,Tennessee Dace,G3,S3,--,D,First order spring-fed streams of woodlands in Ridge and Valley limestone region; Tennessee River watershed.,Aquatic,
Bledsoe,Vertebrate Animal,Fish,Chrosomus saylori,Laurel Dace,G1,S1,LE,E,Cool 1st-2nd order streams with slabrock and rubble substrate; Walden Ridge of the Cumberland Plateau; Tennessee River watershed.,Aquatic,https://upload.wikimedia.org/wikipedia/commons/4/43/Laurel_dace_02-07-01a.jpg
Bledsoe,Vascular Plant,Flowering Plant,Potamogeton tennesseensis,Tennessee Pondweed,G2G3,S2,--,T,Slow Acidic Streams,Aquatic,
Bledsoe,Vertebrate Animal,Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,G5T5,S3,--,D,"Dry upland areas including brushy, cut-over woodlands and grassy fields; nearly statewide but obscure; fossorial.",Upland,
Bledsoe,Vascular Plant,Flowering Plant,Agalinis auriculata,Earleaved False-foxglove,G3,S2,--,E,Barrens,Upland,
Bledsoe,Vascular Plant,Flowering Plant,Drosera capillaris,Pink Sundew,G5,S1,--,T,Acidic Wetlands,Possible,
Bledsoe,Vascular Plant,Flowering Plant,Drosera brevifolia,Dwarf Sundew,G5,S2,--,T,Wet Barrens And Ecotones,Possible,
Bledsoe,Invertebrate Animal,Crustacean,Cambarus pristinus,Pristine Crayfish,G2,S2,--,E,Under cover in small-large size streams; headwaters of Caney Fork River & abutting Sequatchie River tributaries; Cumberland Plateau.,Aquatic,
Bledsoe,Vertebrate Animal,Mammal,Myotis grisescens,Gray Myotis,G3G4,S2,LE,E,Cave obligate year-round; frequents forested areas; migratory.,Upland,
Bledsoe,Vascular Plant,Flowering Plant,Glyceria acutiflora,Sharp-scaled Mannagrass,G5,S2,--,S,"Swamps,Ponds",Possible,
